measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,34,Azerbaijan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.12659964586845635,0.19180754240150388,0.08313129081072207
1,Deaths,34,Azerbaijan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,95.28375165333809,163.26749826444677,59.11787959850088
1,Deaths,36,Kazakhstan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.7276729114947817,0.9362160199563031,0.5659356530027171
1,Deaths,36,Kazakhstan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,210.07160508840616,254.48276527758935,170.43916478192452
1,Deaths,69,Singapore,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.0062286768055168544,0.008170326018040587,0.004840406901443599
1,Deaths,15,Myanmar,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,3347.8917788593226,4786.976359538873,2272.3191843000313
1,Deaths,14,Maldives,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.04495975713893599,0.06545662518409567,0.028608891626942398
1,Deaths,14,Maldives,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,4.502014080975734,6.3693546003652175,3.134998310178703
1,Deaths,164,Nepal,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,8094.688883213302,10498.949883840432,6203.950562017161
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,878.6486025779739,946.7041048683673,818.0793600404156
1,Deaths,15,Myanmar,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,79.88162239637937,111.07324629240337,55.67451314560918
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,2.8259280675541407,4.90618090139544,1.4453134278296982
1,Deaths,18,Thailand,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,19.025269448530903,28.60090829051309,12.267526632559301
1,Deaths,18,Thailand,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,393.46600296112507,460.98334072778334,334.37075563333735
1,Deaths,67,Japan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.36073120618341864,0.462172376301982,0.28218760326834846
1,Deaths,67,Japan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,41.28790801723362,43.961102948252,38.875997715467
1,Deaths,16,Philippines,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,59994.29063772563,66057.83578437725,51728.37951154899
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,84.08473074224891,153.059802379097,41.03095911519616
1,Deaths,35,Georgia,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.7726163431546743,0.9657493262849263,0.597872192745655
1,Deaths,161,Bangladesh,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,13.349612781449506,18.27316465060088,9.124823941502475
1,Deaths,161,Bangladesh,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,7624.103467239699,10890.659522257334,4935.331703619674
1,Deaths,16,Philippines,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,47.65235748276178,61.68750596661025,36.32642756354614
1,Deaths,16,Philippines,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,6046.847315309802,7420.382537544134,4918.788814605563
1,Deaths,19,Timor-Leste,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,673.4261715100929,797.1378572615382,541.6258708331727
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,3.851855199767656,4.8753686519547275,3.0424547280931535
1,Deaths,6,China,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,34.8564727707562,46.52599992363228,25.22916025561484
1,Deaths,6,China,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,1785.3473280437775,2207.7519919523193,1361.7595126172994
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,91.23983298812719,100.09461604450142,83.33181481685473
1,Deaths,33,Armenia,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.36085557981595945,0.4651050376442698,0.2751812396442576
1,Deaths,33,Armenia,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,67.43127554486247,81.63294291915305,56.06690270682598
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.021789481078686453,0.026950865270976496,0.017196177361328797
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,68.81023133988063,77.6299022076471,60.42282982126974
1,Deaths,17,Sri Lanka,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,4066.237463863011,5344.559273189302,3119.659366909974
1,Deaths,19,Timor-Leste,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,6.7986683041817955,10.575611448705393,4.210028361149455
1,Deaths,19,Timor-Leste,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,86.59251850724416,120.50089357284537,61.449310443053356
1,Deaths,36,Kazakhstan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,4101.4465059266095,4556.904633614944,3683.1557819895343
1,Deaths,162,Bhutan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,153.57326220227617,197.09723248851847,107.32705809049808
1,Deaths,38,Mongolia,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,572.3874963785988,689.0905437232412,463.38592395976207
1,Deaths,20,Viet Nam,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,21440.40177896857,25876.834142485906,17681.868122055505
1,Deaths,161,Bangladesh,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,38548.95965294512,46741.49228910908,31681.68357122106
1,Deaths,69,Singapore,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,3483.1308646017087,3787.2451288973784,2976.549746509622
1,Deaths,183,Mauritius,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,405.93357880082885,429.93895024765243,371.69443826723517
1,Deaths,40,Turkmenistan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,1.671618188859624,2.343566937702281,1.1359611587711793
1,Deaths,40,Turkmenistan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,71.19206134602435,99.51557929536708,50.54665065866912
1,Deaths,163,India,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,3157.3256935806844,3824.426728085015,2584.7833153918878
1,Deaths,163,India,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,36274.27514101274,45301.814358682896,27938.32221036438
1,Deaths,163,India,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,484283.99240871175,539071.9507091291,433868.21145385754
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,13783.551651742286,14703.25058145036,12173.983509486068
1,Deaths,69,Singapore,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,1.6047746906094633,1.8744026476889444,1.3707853294878851
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.014563477478758177,0.02348822838392513,0.008420583934092
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,4.253334357172766,5.584523505266584,3.300472555407602
1,Deaths,41,Uzbekistan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,6.986894498030006,8.95965026464088,5.1847495182281
1,Deaths,41,Uzbekistan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,614.1598009301423,741.773135641523,499.6677128462577
1,Deaths,67,Japan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,93878.55844177397,103883.31590462245,75688.39651223489
1,Deaths,39,Tajikistan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,6.083924612677555,9.342207281835877,3.857177374434079
1,Deaths,39,Tajikistan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,129.7712683947002,213.89761178226385,70.30310678932321
1,Deaths,186,Seychelles,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,72.54293996679252,80.65529811513797,64.75341330202974
1,Deaths,35,Georgia,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,1667.941493311182,1835.8857024225215,1484.8903765342002
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,33.25154842434226,37.63599097419794,29.357253234021808
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,11.739448269917201,21.384295917043605,5.98040434975066
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,483.48453308296007,720.8155619486904,313.9995442190327
1,Deaths,164,Nepal,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,26.91151013166433,46.046223622636674,15.143754599131732
1,Deaths,20,Viet Nam,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,2.670034100069977,4.6149183962859714,1.413498716426358
1,Deaths,20,Viet Nam,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,1806.6782243593552,2447.0427391549674,1266.1147595166603
1,Deaths,68,Republic of Korea,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,15725.689605751995,18681.83083918571,12024.369017020039
1,Deaths,40,Turkmenistan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,1644.5788524703285,1927.4632659600486,1400.8900941807176
1,Deaths,164,Nepal,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,888.4020447163493,1317.1721988094407,578.0540551727269
1,Deaths,165,Pakistan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,78065.25713909249,94240.50766070093,63152.99541655864
1,Deaths,186,Seychelles,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.012716076472425838,0.019143078231495508,0.007651654193010105
1,Deaths,186,Seychelles,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,1.6528677422184908,2.300506746779354,1.0712909238642405
1,Deaths,11,Indonesia,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,174.06978922245878,248.91743335592759,121.76138422979024
1,Deaths,11,Indonesia,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,7536.3712519802175,12810.79677894902,4679.919484206152
1,Deaths,165,Pakistan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,631.7278934539913,1150.3494045549696,330.43582953714116
1,Deaths,165,Pakistan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,13030.611516028199,17227.447455061487,9539.399415121576
1,Deaths,41,Uzbekistan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,9254.982527600163,10714.456613445158,8046.470411438841
1,Deaths,6,China,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,198570.5136333337,239920.76787994415,168464.4533312926
1,Deaths,10,Cambodia,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,11659.806108199364,14220.690987591175,9368.476515905657
1,Deaths,38,Mongolia,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,3.6623795888563397,5.246774986188909,2.4712899191788584
1,Deaths,38,Mongolia,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,42.10120012230229,62.41835614868548,25.875690941705898
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,3373.640057665883,4142.938772600228,2612.835629004729
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,6503.004345945778,8247.14221997176,5058.869219832826
1,Deaths,39,Tajikistan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,4590.469910422998,5754.398791531911,3572.1367429223214
1,Deaths,13,Malaysia,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,10.086056633192872,13.226696379535763,7.513998186991318
1,Deaths,13,Malaysia,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,278.49598540447374,345.2551477627982,211.3074677071497
1,Deaths,183,Mauritius,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.263358948023443,0.3213194047456181,0.21357764409405247
1,Deaths,183,Mauritius,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,11.251856023094653,12.86267398425595,9.733540051735812
1,Deaths,10,Cambodia,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,20.463995684398153,31.360233179114612,12.765727285375904
1,Deaths,10,Cambodia,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,622.4309776621311,888.4677158091199,405.94931041222316
1,Deaths,11,Indonesia,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,46376.16785532302,52242.496940453915,38996.91388896957
